date,pm25,pm10,o3,no2,so2, co
2021/10/2,31, ,31,4, , 
2021/10/3,47, , , , , 
2021/9/2,19, ,37,3, , 
2021/9/3,24, ,38,5, , 
2021/9/4,29, ,40,3, , 
2021/9/5,36, ,25,2, , 
2021/9/6,40, ,19,3, , 
2021/9/7,35, ,42,4, , 
2021/9/8,49, ,31,5, , 
2021/9/9,47, ,33,2, , 
2021/9/10,35, ,26,4, , 
2021/9/11,27, ,32,4, , 
2021/9/12,49, ,36,5, , 
2021/9/13,40, ,32,5, , 
2021/9/14,54, ,34,5, , 
2021/9/15,55, ,23,5, , 
2021/9/16,41, ,28,4, , 
2021/9/17,30, ,29,5, , 
2021/9/18,31, ,43,3, , 
2021/9/19,55, ,39,3, , 
2021/9/20,37, ,32,6, , 
2021/9/21,42, ,28,3, , 
2021/9/22,32, ,21,5, , 
2021/9/23,18, ,26,3, , 
2021/9/24,20, ,30,4, , 
2021/9/25,25, ,31,2, , 
2021/9/26,36, ,33,3, , 
2021/9/27,27, ,34,5, , 
2021/9/28,36, ,26,4, , 
2021/9/29,46, ,29,5, , 
2021/9/30,24, ,24,8, , 
2021/10/1,31, ,25,5, , 
2021/8/2,68, ,36,2, , 
2021/8/3,44, ,41,4, , 
2021/8/4,36, ,39,4, , 
2021/8/5,50, ,54,5, , 
2021/8/6,58, ,46,4, , 
2021/8/7,60, ,45,3, , 
2021/8/8,61, ,36,4, , 
2021/8/9,68, ,31,3, , 
2021/8/10,68, ,33,6, , 
2021/8/11,52, ,33,4, , 
2021/8/12,42, ,32,2, , 
2021/8/13,51, ,41,3, , 
2021/8/14,45, ,34,2, , 
2021/8/15,30, ,29,2, , 
2021/8/16,33, ,21,3, , 
2021/8/17,27, ,21,2, , 
2021/8/18,27, ,10,2, , 
2021/8/19,19, ,28,2, , 
2021/8/20,35, ,36,3, , 
2021/8/21,45, ,38,6, , 
2021/8/22,57, ,43,2, , 
2021/8/23,65, ,40,4, , 
2021/8/24,60, ,54,5, , 
2021/8/25,58, ,43,4, , 
2021/8/26,56, ,41,4, , 
2021/8/27,53, ,40,3, , 
2021/8/28,62, ,33,4, , 
2021/8/29,67, ,36,2, , 
2021/8/30,47, ,30,2, , 
2021/8/31,41, ,26,3, , 
2021/9/1,36, ,25,1, , 
2021/7/2,28, ,27,1, , 
2021/7/3,25, ,31,1, , 
2021/7/4,32, ,38,3, , 
2021/7/5,73, ,28,3, , 
2021/7/6,116, ,42,3, , 
2021/7/7,77, ,39,5, , 
2021/7/8,82, ,23,4, , 
2021/7/9,34, ,32,2, , 
2021/7/10,32, ,36,2, , 
2021/7/11,42, ,26,2, , 
2021/7/12,35, ,15,3, , 
2021/7/13,31, ,27,3, , 
2021/7/14,34, ,37,3, , 
2021/7/15,32, ,42,3, , 
2021/7/16,43, ,32,2, , 
2021/7/17,51, ,39,2, , 
2021/7/18,29, ,30,1, , 
2021/7/19,44, , , , , 
2021/7/20,80, ,50,5, , 
2021/7/21,104, ,42,3, , 
2021/7/22,72, ,39,5, , 
2021/7/23,41, ,45,5, , 
2021/7/24,43, ,48,3, , 
2021/7/25,63, ,43,3, , 
2021/7/26,65, ,53,4, , 
2021/7/27,55, ,54,6, , 
2021/7/28,74, ,57,6, , 
2021/7/29,69, ,41,4, , 
2021/7/30,68, ,40,3, , 
2021/7/31,47, ,40,2, , 
2021/8/1,29, ,43,2, , 
2021/6/2,57, ,31,9, , 
2021/6/3,52, ,28,5, , 
2021/6/4,34, ,48,3, , 
2021/6/5,39, ,56,4, , 
2021/6/6,58, ,44,4, , 
2021/6/7,81, ,18,3, , 
2021/6/8,72, ,29,3, , 
2021/6/9,41, ,34,3, , 
2021/6/10,38, ,30,4, , 
2021/6/11,40, ,24,2, , 
2021/6/12,32, ,45,3, , 
2021/6/13,47, ,38,4, , 
2021/6/14,49, ,34,3, , 
2021/6/15,43, ,33,2, , 
2021/6/16,25, ,40,3, , 
2021/6/17,20, ,47,5, , 
2021/6/18,44, ,43,5, , 
2021/6/19,60, ,38,2, , 
2021/6/20,39, ,33,3, , 
2021/6/21,56, ,31,4, , 
2021/6/22,50, ,32,1, , 
2021/6/23,17, ,33,4, , 
2021/6/24,43, ,37,6, , 
2021/6/25,34, ,45,4, , 
2021/6/26,42, ,40,4, , 
2021/6/27,46, ,32,4, , 
2021/6/28,45, ,33,4, , 
2021/6/29,42, ,35,4, , 
2021/6/30,46, ,30,4, , 
2021/7/1,32, ,25,3, , 
2021/5/2,15, ,44,6, , 
2021/5/3,30, ,24,5, , 
2021/5/4,28, ,29,6, , 
2021/5/5,25, ,19,7, , 
2021/5/6,22, ,29,5, , 
2021/5/7,27, ,29,5, , 
2021/5/8,35, ,32,2, , 
2021/5/9,22, ,22,4, , 
2021/5/10,25, ,34,3, , 
2021/5/11,23, ,24,7, , 
2021/5/12,23, ,30,5, , 
2021/5/13,18, ,35,7, , 
2021/5/14,26, ,40,7, , 
2021/5/15,38, ,43,6, , 
2021/5/16,56, ,47,7, , 
2021/5/17,59, ,49,9, , 
2021/5/18,55, ,47,7, , 
2021/5/19,44, ,48,9, , 
2021/5/20,52, ,48,8, , 
2021/5/21,43, ,49,8, , 
2021/5/22,51, ,29,4, , 
2021/5/23,69, ,45,6, , 
2021/5/24,49, ,30,7, , 
2021/5/25,48, ,49,4, , 
2021/5/26,48, ,38,5, , 
2021/5/27,67, ,35,3, , 
2021/5/28,23, ,24,6, , 
2021/5/29,27, ,16,1, , 
2021/5/30,17, ,16,1, , 
2021/5/31,25, ,37,2, , 
2021/6/1,44, ,41,6, , 
2021/4/2,19, , , , , 
2021/4/3,23, , , , , 
2021/4/4,44, , , , , 
2021/4/5,35, , , , , 
2021/4/6,54, , , , , 
2021/4/7,62, ,42,7, , 
2021/4/8,69, ,48,7, , 
2021/4/9,61, ,38,4, , 
2021/4/10,29, ,35,4, , 
2021/4/11,34, ,36,1, , 
2021/4/12,20, ,26,2, , 
2021/4/13,23, ,41,6, , 
2021/4/14,43, ,38,8, , 
2021/4/15,35, ,21,3, , 
2021/4/16,26, ,23,1, , 
2021/4/17,25, ,26,3, , 
2021/4/18,39, ,36,5, , 
2021/4/19,56, ,39,7, , 
2021/4/20,38, ,41,3, , 
2021/4/21,39, ,33,1, , 
2021/4/22,20, ,35,1, , 
2021/4/23,26, ,44,6, , 
2021/4/24,48, ,38,7, , 
2021/4/25,45, ,37,2, , 
2021/4/26,44, ,37,6, , 
2021/4/27,26, ,48,8, , 
2021/4/28,39, ,36,8, , 
2021/4/29,58, ,26,3, , 
2021/4/30,27, ,32,1, , 
2021/5/1,20, ,37,4, , 
2021/3/2,26, ,31,5, , 
2021/3/3,25, ,34,12, , 
2021/3/4,46, ,31,4, , 
2021/3/5,39, ,32,2, , 
2021/3/6,18, ,33,3, , 
2021/3/7,24, ,34,10, , 
2021/3/8,31, ,35,12, , 
2021/3/9,46, ,45,14, , 
2021/3/10,64, ,46,14, , 
2021/3/11,67, ,36,11, , 
2021/3/12,63, ,36,3, , 
2021/3/13,21, ,36,5, , 
2021/3/14,20, ,36,7, , 
2021/3/15,29, ,32,2, , 
2021/3/16,21, ,31,9, , 
2021/3/17,39, , , , , 
2021/3/18,48, , , , , 
2021/3/19,27, , , , , 
2021/3/20,17, , , , , 
2021/3/21,24, , , , , 
2021/3/22,24, , , , , 
2021/3/23,26, , , , , 
2021/3/24,22, , , , , 
2021/3/25,27, , , , , 
2021/3/26,47, , , , , 
2021/3/27,25, , , , , 
2021/3/28,66, , , , , 
2021/3/29,31, , , , , 
2021/3/30,23, , , , , 
2021/2/2,5, , , , , 
2021/1/5,39, ,16,5, , 
2021/1/6,38, ,26,3, , 
2021/1/7,47, ,23,6, , 
2021/1/8,30, ,15,10, , 
2021/1/9,33, ,22,7, , 
2021/1/10,49, ,20,12, , 
2021/1/11,57, ,23,10, , 
2021/1/12,73, ,24,7, , 
2021/1/13,64, ,24,19, , 
2021/1/14,51, ,28,12, , 
2021/1/15,41, ,24,13, , 
2021/1/16,32, ,21,9, , 
2021/1/17,44, ,16,4, , 
2021/1/18,27, ,24,2, , 
2021/1/19,24, ,27,6, , 
2021/1/20,37, ,26,5, , 
2021/1/21,32, ,28,6, , 
2021/1/22,32, ,25,4, , 
2021/1/23,31, , , , , 
2021/1/24,33, , , , , 
2021/1/25,44, , , , , 
2021/1/26,53, , , , , 
2021/1/27,30, ,28,3, , 
2021/1/28,29, ,29,2, , 
2021/1/29,18, ,29,5, , 
2021/1/30,26, ,5,18, , 
2021/1/31,38, , , , , 
2020/10/2,20, ,15,3, , 
2020/10/3,28, ,22,4, , 
2020/10/4,49, ,20,4, , 
2020/10/5,33, ,23,3, , 
2020/10/6,31, ,31,5, , 
2020/10/7,40, ,40,5, , 
2020/10/8,35, ,23,6, , 
2020/10/9,27, ,33,7, , 
2020/10/10,54, ,30,4, , 
2020/10/11,49, ,18,4, , 
2020/10/12,37, ,19,2, , 
2020/10/13,12, ,28,3, , 
2020/10/14,20, ,32,6, , 
2020/10/15,41, ,35,6, , 
